App,Description,Rating,Number of ratings,Price,Dangerous permissions count,Safe permissions count,Class,Package,Related apps
optionsXpress,"OX Mobile puts live trading and the latest market data right in the palm of your hand with dozens of convenient features and functions, including:<br>Stocks, Options, Futures and Options Strategy trading support,<br>Streaming quotes, Chains & Charts<br>Powerful trading tools like The Dragon, Reversals and Gainers & Losers<br>Linked Accounts to monitor your positions, balances & orders",4.2,294,0.0,3,2,0,com.msf.opx,"['com.jw.EquityOptCalc', 'ek.options', 'jason.wei.apps.optioncalc', 'com.cg3.android.rsisolver']"
OANDA fxTrade for Android,"Get OANDA's tight spreads and forex trading advantages on your Android device.<p>Get the tight spreads and trading advantages of OANDA's innovative forex platform in an Android forex trading app. One-tap trading on 54 currency pairs and 4 metal pairs. Live streaming interbank rate feed; charts in portrait or landscape views. Limit orders: take profit, stop loss, trailing stops, lower and upper bounds.<p><p><p>Disclaimer: Trading off-exchange foreign exchange on margin carries a high level of risk and is not suitable for all investors.  Trading through an online platform carries additional risks.",4.0,757,0.0,1,1,1,com.oanda.fxtrade,"['com.yproky.fxCalendar', 'com.olsoft.mobitradeone.forex', 'com.fxbeta.news', 'com.pipcalculator']"
Xogee Trader,"Xogee Limited provides software solutions to retail Forex brokers utilizing Metatrader 4 trading system. Xogee MT4 Trader for Android is one of applications provided to our customers. <br>Featuring important functionalities for traders such as real-time quotes updates, instant execution, market execution, pending order, scrollable chart from M1 to Monthly, Xogee MT4 Trader for Android also adopts auto portrait-to-landscape when viewing charts. Financial news, Shortlisting and viewing only your favorite instruments are also made possible. <br>Xogee LTD is not a broker therefore we provide the access to Xogee Trader for demo purposes only. You can open a test account here: <a href=""http://www.google.com/url?q=http://www.xogee.com/reg_test_account/&usg=AFQjCNG1hX4Mz802Ih_FKUxyab4RkRqvtA"" target=""_blank"">http://www.xogee.com/reg_test_account/</a><br>If you are a forex trader and your broker doesn't have trading solution for Android smartphones we will contact your broker to implement the integration.<p>Following corrections and improvements have been done in the release 1.20:<p>1.The 'out of memory' error was fixed while application running<br>2. Supported languages: English, Russian, Arabic, Chinese traditional and simplified, Greek, Turkish, Dutch, Spanish, Italian, French, Portuguese, Japanese, German<br>3. Demo registration form was updated<br>4. 'Partial close' of an order was implemented<br>5. New methods were introduced for the numeric fields input<br>6. Added support for the MRU list of trading accounts<br>7. Selected chart scaling and periods are saved<br>8. Confirm app exit while pushing 'Back button' with confirmation window<br>9. In case one of the field (Account, Password, Server) is empty on the login page, Login button is disabled<br>10. The timeline scaling was fixed on the charts<br>11. Password field was extended to 15 digits<br>12. After successfully creating an open order (instant, market or pending) user is directed to trade window<br>13. Confirmation message has been changed on changing SL, TP<br>14. 30 min chart was implemented<br>15. 'Remove mails' option was implemented<br>16. 'Collective' view of open positions was implemented<br>17. 'Points' view of open positions was implemented<br>18. Search engine was implemented, in Rates, Favorites, Trades, History, News and Mail<br>19. Connection speed was improved<br>20. Switching between instant (market) order with menu button was implemented",4.4,10,0.0,2,0,1,com.xogee.trader,"['com.liteforex.trader', 'com.millenium.trader', 'com.admiralmarkets.trader', 'com.yproky.fxCalendar']"
My Car,"Costs of running a car administration application.<p>The application allows you to quickly and easily manage the traffic of your cars.<p>Languages: English, Czech, Slovak, Italian.<p>*** See 'Recent changes' below. ***<p>You can create multiple user profiles. Each user can manage the traffic of his cars. You can assign the driving profile to each refueling. Driving profiles define the way and style of driving since previous refueling (e.g. type of tyres, amount of load, driving style, air conditioning usage, ...).<p>You can filter the traffic of your car, so that the only informations you want will be shown.<p>You can use new event notification system.<p>You can change currency and units that are used within the application. You can use Czech crowns, euros, pounds or dollars. Application supports standard units used in Europe and USA. If you change units, all values will be converted appropriately.<p>and more...<p>*** See User's Guide: <a href=""http://www.google.com/url?q=http://www.my-car.g6.cz/index-en.html&usg=AFQjCNGANqPGV1Y9hOzMV-p04l7RlqGRpA"" target=""_blank"">http://www.my-car.g6.cz/index-en.html</a> ***<p>*** Recent changes: ***<p>Version 1.4:<br>- Data backup and restore were added!!! You can find it in the menu of login screen.<br>- Option to automatically backup data each time you exit the application. You can find it in preferences.<br>- New application icon.<br>- Italian localization was added. Thanks Roberto for translation.<p>Version 1.3.1:<br>- Slovak localization was added. Thanks Typhoon for translation.<br>- Small bug fixes.<p>Version 1.3:<br>- New notification system!!! You can create your own events. You can be notified by date or traveled distance. Events can also be repetitive.<br>- Car's attributes 'Service date' and 'STC date' have been removed. Existing dates are automatically converted to single events.<br>- Couple of graphic changes and improvements.<p>Version 1.2:<br>- New traffic item was added - Expense. It enables you to record irregular expenses that are not related to the service inspection (e.g. motor oil, wipers ...).<br>- The graphics of traffic list items was improved (especially service and note item).<br>- In refueling, service and expense traffic items, you can show gas station, garage or any other place on the map - click on the small gas station or location icon. Also, gas station can be shown on the map using Profile tab - long click on one of gas station list items and choose 'Show on map'.<br>- Couple of graphic changes and improvements.<p>*** Complete change log is available on my website. ***<p>*** If you have a problem, please send me an email or share a comment on my blog, so that I can respond and solve it. ***",4.6,104,0.0,2,1,1,cz.dorazil.jan.MyCar,"['cz.actum.cz.koop', 'org.polaris.bankomaty', 'net.zmok.android.finkalk', 'eu.inmite.prj.kb.mobilbank']"
Coors CU Mobile Banking,"New App!<p>Coors Credit Union Mobile Banking allows you to check balances, view transaction history, transfer funds, and pay loans on the go!<p>Features:<br>- Check Balances<br>- View Transaction History<br>- Transfer Funds<br>- Pay Loans<br>- Secure Messaging for support",4.5,8,0.0,6,0,1,com.softek.ofxclmobile.coorscu,"['com.sfcu.org', 'com.softek.ofxclmobile.fiberglasfcu', 'com.softek.ofxclmobile.bouldervalleycu', 'com.softek.ofxclmobile.oregonemployeesfcu']"
America First Mobile Banking,"FREE* Mobile Banking application for Android devices.<p>Our exclusive app allows users to perform financial transactions while on the move without making a special trip to the credit union. <p>With America First Mobile Banking, our members can view account balances, account histories, make transfers, and pay bills in just seconds. <p>In addition, the enhanced version has the following features:<br>??? Linked account viewing ??? View account activity on a mobile device.<br>??? Find us - Locate a branch or surcharge-free ATM quickly and easily.<br>??? Contact us ??? Talk to a service representative.<p>*There is no charge from America First, but messaging and data rates may apply.",4.2,254,0.0,5,4,0,com.afcu.mobilebanking,"['com.softek.ofxclmobile.goldenwestcu', 'com.mshift.uccu', 'com.bankofamericanfork', 'com.mfoundry.mb.android.mb_zfnb_pb']"
MT4 Remote,"Trade forex anywhere from your phone!<p>Allows to connect to Metatrader 4 terminal from  your phone. You can trade forex anywhere for free. View quotes, charts, send or modify orders.<p>You'll get the other required components (EA and MT4Connector application) and more information at <a href=""http://www.google.com/url?q=http://www.mt4remote.com&usg=AFQjCNFOevVLxpQUxgeYk_ICSfxvluO3-w"" target=""_blank"">http://www.mt4remote.com</a><p>Best Forex Trading Tool for Free!",4.2,205,0.0,3,0,1,com.mt4remote,"['com.millenium.trader', 'com.xogee.trader', 'com.olsoft.mobitradeone.forex', 'com.pipcalculator']"
CashTrack,"CashTrack allows you to quickly and easily keep track of money coming in and out<p>CashTrack is specially designed to help you out when it comes to managing your economy right in your phone. Lets face it, even if you choose to take the receipt of you newly bought pair of pants you will just stick it in you pocket and forget about it. This is where CashTrack comes in. When youâ€™re about to pay for your newly found t-shirt, quickly open CashTrack on your phone, type in the amount, select the appropriate category, youâ€™ll be done before you get your change back, itâ€™s that easy! Donâ€™t worry about remembering what transaction is which, with optional settings like automatically geotagging and being able to add descriptions to transactions you will never have to wonder.<p>FEATURES: <br>â˜…Create your own categories with over 70 (and counting!) icons to choose from.<br>â˜…Get up to date statistics showing you what you spend your money on.<br>â˜…Awesome graphics, making the app more use full and pretty to look at!<br>â˜…Three widgets for quick access to all your information.<br>â˜…Optional password protection.<br>â˜…Swiping between tabs makes CashTrack incredibly quick to use<br>â˜…CashTrack includes customizable tab we call Overview, here you can choose what information you want to see directly you open the application.<br>â˜…Geotag your transaction so you never forget where you bought that awesome t-shirt!<br>â˜…And a lot more to come..! <p>TESTED ON:<br>Google Nexus One, Sony Ericsson Xperia Arc, HTC Sensation, ZTE Blade, HTC Legend, Samsung Galaxy S II, HTC Desire S<p><br>DOCUMENTATION: <br>Before you download CashTrack, we recommend you check out the documents below.<p>Known Issues:  <a href=""http://www.google.com/url?q=http://goo.gl/U1F7J&usg=AFQjCNEk2T-7_TwnJ45TPSHgQtjQ50BCMQ"" target=""_blank"">http://goo.gl/U1F7J</a><br>Requirements: <a href=""http://www.google.com/url?q=http://goo.gl/J7u5i&usg=AFQjCNFzNIbqT5ybjf9bZ4eCZsjH6WLtEw"" target=""_blank"">http://goo.gl/J7u5i</a><br>Change log: <a href=""http://www.google.com/url?q=http://goo.gl/N7SmW&usg=AFQjCNGxXEtvpCK2Z5Fhb8Wwf23oWxoSZA"" target=""_blank"">http://goo.gl/N7SmW</a><p><br>You found a bug did you? Maybe you have an idea for a new icon? Or maybe you just wanna talk? Give us a shout!<p>Bug Report Form: <a href=""http://www.google.com/url?q=http://goo.gl/WJHtW&usg=AFQjCNFFZGlQTX1ii5H6QU4MdCsZFMOjzA"" target=""_blank"">http://goo.gl/WJHtW</a><br>Icon Request Form:<a href=""http://www.google.com/url?q=http://goo.gl/9ZuRF&usg=AFQjCNHMOPuUunn7GRQl1mcXCggRyJ9UVw"" target=""_blank"">http://goo.gl/9ZuRF</a><br>Contact Form: <a href=""http://www.google.com/url?q=http://goo.gl/umJ6j&usg=AFQjCNGkS2DKTIiguGZCehJYe4FSoJNUVg"" target=""_blank"">http://goo.gl/umJ6j</a>",4.2,22,0.0,3,0,1,syrligt.cashtrack,"['com.block21.mywallet', 'com.lubis.iowho', 'com.Splitwise.SplitwiseMobile', 'net.phase.wallet']"
Servipag M??vil,Aplicaci??n m??vil de Servipag que te permite:<p>- Pagar cuentas.<br>- Encontrar la sucursal m??s cercana a tu posici??n.<br>- Llamarnos en caso de necesitar asistencia.,4.5,8,0.0,4,1,0,com.bexmeta.servipag,"['beep.dhenriquez.cl', 'com.bbva.bbvacontigocl', 'cl.bancochile.aplicacionmovil', 'com.cuprum.movil']"
CNNMoney For Google TV,"CNNMoney is the most compelling money news and video.<p>CNNMoney???s Google TV application will provide viewers an informative and entertaining engaged viewing experience covering business news, high-tech trends, personal finance, luxury and real estate. The award winning broadcast quality content is produced by the CNNMoney Editorial staff, and updated several times daily, leveraging the global reach of CNN.",2.8,6,0.0,1,2,0,com.turner.googletv.cnnmoney,"['com.DevSmart.stockguru', 'com.tartar.carcostsdemo', 'com.adore.usa', 'com.dreamstep.wTheUltimateStockMarketGuide']"
